0, 9, 0, 75, 45.93
1, 9, 0, 68, 43.48
0, 265, 0, 74, 45.69
1, 265, 0, 68, 43.24
0, 265, 0, 74, 45.69
1, 265, 0, 67, 42.99
0, 12880, 25, 74, 46.17
1, 12725, 0, 67, 42.99
0, 12880, 25, 73, 45.93
1, 12725, 0, 67, 42.75
0, 12880, 25, 73, 45.93
1, 12725, 0, 67, 42.75
0, 12880, 24, 73, 45.69
1, 12725, 0, 66, 42.75
0, 12880, 25, 73, 45.69
1, 12725, 0, 66, 42.51
0, 12880, 0, 72, 45.44
1, 12725, 20, 66, 42.51
0, 12880, 0, 72, 45.20
1, 12725, 22, 66, 42.51
0, 12880, 0, 72, 45.20
1, 12725, 20, 65, 42.26
0, 12880, 0, 72, 44.96
1, 12725, 20, 65, 42.02
0, 12880, 0, 71, 44.96
1, 12725, 20, 65, 42.02
0, 12880, 0, 71, 44.71
1, 12725, 20, 65, 42.02
0, 12880, 0, 71, 44.47
1, 12725, 21, 65, 41.78
0, 12880, 0, 71, 44.47
1, 12725, 19, 64, 41.78
0, 12880, 0, 70, 44.23
1, 12725, 20, 64, 41.54
0, 12880, 0, 70, 44.23
1, 12725, 20, 64, 41.54
0, 12880, 0, 70, 43.74
1, 12725, 21, 63, 41.29
0, 12880, 0, 70, 43.50
1, 12725, 20, 63, 41.29
0, 12880, 0, 69, 43.50
1, 12725, 21, 63, 41.29
0, 12880, 0, 69, 43.50
1, 12725, 21, 63, 41.05
0, 12880, 0, 69, 43.02
1, 12725, 21, 63, 41.05
0, 12880, 0, 69, 43.02
1, 12725, 19, 63, 41.05
0, 12880, 0, 69, 43.02
1, 12725, 21, 63, 41.05
0, 12880, 0, 68, 42.78
1, 12725, 22, 62, 40.81
0, 12880, 0, 68, 42.78
1, 12725, 19, 62, 40.57
0, 12880, 0, 68, 43.02
1, 12725, 22, 62, 40.08
0, 12880, 0, 68, 43.02
1, 12725, 20, 62, 40.08
0, 12880, 0, 68, 42.78
1, 12725, 0, 62, 40.08
0, 12880, 0, 68, 42.78
1, 12725, 0, 61, 40.08
0, 12880, 0, 67, 42.80
1, 12725, 0, 61, 40.08
0, 12998, 5, 67, 43.50
1, 12845, 16, 61, 39.60
0, 12998, 57, 70, 70.61
1, 12871, 57, 63, 179.73
0, 12998, 57, 70, 55.49
1, 12871, 50, 64, 188.73
0, 12998, 42, 70, 166.21
1, 12871, 41, 64, 73.56
0, 12998, 41, 71, 206.05
1, 12871, 41, 64, 51.28
0, 12998, 41, 72, 117.94
1, 12871, 42, 64, 153.34
0, 12998, 51, 71, 62.22
1, 12871, 53, 65, 186.12
0, 12998, 57, 71, 65.59
1, 12871, 57, 65, 134.71
0, 12998, 57, 72, 195.79
1, 12871, 45, 65, 58.71
0, 12998, 52, 72, 212.00
1, 12871, 41, 64, 50.54
0, 12998, 41, 73, 90.01
1, 12871, 41, 65, 172.26
0, 12998, 41, 72, 58.13
1, 12871, 49, 66, 190.55
0, 12998, 44, 72, 147.55
1, 12871, 57, 66, 78.61
0, 12998, 57, 72, 197.21
1, 12871, 57, 65, 57.01
0, 12998, 57, 73, 153.66
1, 12871, 51, 65, 134.86
0, 12998, 41, 73, 62.71
1, 12871, 41, 65, 188.88
0, 12998, 41, 72, 56.44
1, 12871, 41, 66, 153.01
0, 12998, 41, 73, 201.63
1, 12871, 45, 66, 56.51
0, 12998, 51, 73, 214.00
1, 12871, 57, 65, 51.00
0, 12998, 57, 74, 85.71
1, 12871, 57, 66, 175.56
0, 12998, 57, 73, 58.37
1, 12871, 52, 66, 191.47
0, 12998, 50, 73, 165.54
1, 12871, 41, 67, 71.68
0, 12998, 41, 73, 210.33
1, 12871, 41, 66, 52.44
0, 12998, 41, 74, 76.34
1, 12871, 58, 66, 183.01
0, 12998, 49, 73, 58.62
1, 12871, 57, 67, 191.02
0, 12998, 57, 73, 191.09
1, 12871, 53, 67, 63.96
0, 12998, 57, 74, 211.61
1, 12871, 42, 66, 52.44
0, 12998, 51, 74, 142.42
1, 12871, 41, 66, 147.52
0, 12998, 41, 74, 62.21
1, 12871, 41, 67, 190.12
0, 12998, 48, 74, 182.11
1, 12871, 51, 67, 68.98
0, 12998, 57, 74, 212.92
1, 12871, 57, 66, 52.91
0, 12998, 57, 75, 141.74
1, 12871, 57, 66, 144.66
0, 12998, 56, 74, 65.08
1, 12871, 49, 67, 190.50
0, 12998, 44, 74, 57.40
1, 12871, 41, 67, 159.40
0, 12998, 41, 75, 202.57
1, 12871, 41, 67, 58.42
0, 12998, 41, 75, 211.73
1, 12871, 41, 67, 58.72
0, 12998, 53, 75, 82.78
1, 12871, 54, 67, 183.33
0, 12998, 57, 75, 59.33
1, 12871, 57, 68, 193.50
0, 12998, 57, 74, 156.70
1, 12871, 57, 68, 87.67
0, 12998, 49, 74, 208.86
1, 12871, 41, 67, 55.57
0, 12998, 41, 75, 173.59
1, 12871, 41, 67, 126.92
0, 12998, 41, 75, 68.88
1, 12871, 52, 67, 190.63
0, 12998, 48, 75, 58.58
1, 12871, 57, 68, 199.37
0, 12998, 57, 75, 189.64
1, 12871, 57, 68, 65.65
0, 12998, 58, 75, 214.48
1, 12871, 50, 67, 53.40
0, 12998, 57, 76, 117.67
1, 12871, 41, 67, 161.47
0, 12998, 44, 75, 62.42
1, 12871, 41, 68, 192.66
0, 12998, 41, 75, 173.75
1, 12871, 46, 68, 77.60
0, 12998, 53, 76, 212.44
1, 12871, 58, 68, 54.12
0, 12998, 58, 76, 117.43
1, 12871, 57, 67, 160.13
0, 12998, 57, 75, 63.38
1, 12871, 49, 68, 192.76
0, 12998, 46, 75, 184.14
1, 12871, 41, 68, 70.21
0, 12998, 41, 76, 214.35
1, 12871, 41, 68, 53.64
0, 12998, 41, 76, 111.99
1, 12871, 44, 68, 164.39
0, 14064, 100, 77, 226.85
1, 13620, 0, 67, 51.01
0, 14064, 100, 78, 208.79
1, 13620, 0, 66, 50.23
0, 14064, 89, 77, 58.93
1, 13996, 70, 67, 147.13
0, 14064, 100, 78, 227.47
1, 13996, 100, 69, 202.31
0, 14064, 100, 79, 227.53
1, 13996, 81, 69, 54.17
0, 14064, 94, 79, 199.61
1, 13996, 100, 69, 140.03
0, 14064, 100, 79, 149.09
1, 13996, 100, 70, 208.89
0, 14064, 100, 78, 144.83
1, 13996, 0, 68, 51.89
0, 14064, 100, 78, 171.88
1, 13996, 100, 70, 154.03
0, 14064, 100, 79, 159.96
1, 13996, 100, 71, 155.91
0, 14064, 0, 77, 54.72
1, 13996, 83, 70, 211.67
0, 14064, 100, 79, 155.38
1, 13996, 100, 71, 155.34
0, 14064, 100, 79, 170.04
1, 13996, 100, 71, 79.37
0, 14064, 95, 78, 130.19
1, 13996, 100, 71, 203.44
0, 14064, 100, 79, 156.22
1, 13996, 100, 72, 146.35
0, 14064, 100, 79, 151.17
1, 13996, 0, 70, 51.87
0, 14064, 100, 79, 185.46
1, 13996, 100, 71, 169.79
0, 14064, 100, 79, 133.69
