timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/18 22:38:37.722, 0, 74, 45.86, 0, 8825, 1189, 715, P0, 0x0000000000000000
2026/09/18 22:38:37.726, 1, 74, 55.02, 0, 8825, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:38.732, 0, 75, 133.26, 67, 8943, 1316, 715, P0, 0x0000000000000000
2026/09/18 22:38:38.735, 1, 76, 128.28, 96, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:39.741, 0, 77, 143.99, 66, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:39.745, 1, 76, 137.05, 99, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:40.755, 0, 78, 148.54, 69, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:40.758, 1, 77, 128.16, 97, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:41.766, 0, 78, 142.83, 66, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:41.769, 1, 77, 136.38, 98, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:42.789, 0, 78, 161.70, 64, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:42.793, 1, 78, 135.42, 98, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:43.804, 0, 78, 136.06, 66, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:43.807, 1, 78, 153.93, 95, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:44.813, 0, 78, 163.37, 66, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:44.816, 1, 78, 136.30, 98, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:45.828, 0, 79, 157.23, 68, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:45.831, 1, 78, 138.94, 98, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:46.841, 0, 79, 173.64, 68, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:46.844, 1, 78, 128.38, 98, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:47.851, 0, 79, 148.96, 68, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:47.854, 1, 78, 150.28, 98, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:48.863, 0, 79, 149.57, 69, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:48.866, 1, 79, 125.70, 99, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:49.874, 0, 79, 89.81, 69, 8943, 1240, 715, P0, 0x0000000000000000
2026/09/18 22:38:49.878, 1, 79, 114.36, 96, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:50.885, 0, 79, 135.04, 81, 8943, 1265, 715, P0, 0x0000000000000000
2026/09/18 22:38:50.891, 1, 79, 155.77, 84, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:51.898, 0, 79, 136.99, 82, 8943, 1265, 715, P0, 0x0000000000000020
2026/09/18 22:38:51.901, 1, 79, 156.24, 84, 8943, 1328, 715, P0, 0x0000000000000000
2026/09/18 22:38:52.914, 0, 79, 138.10, 57, 8943, 1265, 715, P0, 0x0000000000000000
2026/09/18 22:38:52.917, 1, 80, 127.43, 69, 8943, 1101, 715, P0, 0x0000000000000020
2026/09/18 22:38:53.926, 0, 79, 143.15, 66, 8943, 1227, 715, P0, 0x0000000000000020
2026/09/18 22:38:53.929, 1, 79, 122.36, 96, 8943, 1151, 715, P0, 0x0000000000000020
2026/09/18 22:38:54.937, 0, 79, 116.65, 69, 8943, 1240, 715, P0, 0x0000000000000000
