timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 17:41:06.435, 0, 73, 46.59, 8, 13100, 1189, 715, P0, 0x0000000000000000
2026/09/19 17:41:06.439, 1, 74, 54.04, 21, 12587, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:07.448, 0, 78, 199.11, 100, 13228, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:07.451, 1, 73, 53.89, 0, 12587, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:08.461, 0, 75, 54.72, 0, 13228, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:08.464, 1, 76, 180.23, 99, 12715, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:09.469, 0, 78, 205.54, 100, 13228, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:09.472, 1, 76, 57.74, 70, 12715, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:10.481, 0, 79, 176.43, 100, 13228, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:10.483, 1, 74, 54.92, 0, 12715, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:11.494, 0, 79, 189.63, 100, 13228, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:11.499, 1, 78, 186.84, 100, 12715, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:12.506, 0, 79, 175.29, 100, 13228, 1278, 715, P0, 0x0000000000000000
2026/09/19 17:41:12.509, 1, 76, 57.10, 0, 12715, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:13.515, 0, 80, 178.81, 100, 13228, 1316, 715, P0, 0x0000000000000020
2026/09/19 17:41:13.520, 1, 78, 173.98, 100, 12715, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:14.527, 0, 79, 161.49, 100, 13228, 1227, 715, P0, 0x0000000000000020
2026/09/19 17:41:14.530, 1, 76, 57.83, 0, 12715, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:15.541, 0, 79, 157.38, 100, 13228, 1290, 715, P0, 0x0000000000000000
2026/09/19 17:41:15.544, 1, 79, 194.91, 100, 12715, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:16.554, 0, 79, 146.55, 100, 13228, 1189, 715, P0, 0x0000000000000000
2026/09/19 17:41:16.557, 1, 77, 58.61, 0, 12715, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:17.566, 0, 78, 149.31, 59, 13228, 1227, 715, P0, 0x0000000000000000
2026/09/19 17:41:17.569, 1, 79, 181.62, 100, 12715, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:18.580, 0, 79, 132.05, 100, 13228, 1189, 715, P0, 0x0000000000000000
2026/09/19 17:41:18.588, 1, 79, 152.60, 100, 12715, 1290, 715, P0, 0x0000000000000020
2026/09/19 17:41:19.593, 0, 78, 54.53, 51, 13228, 1316, 715, P0, 0x0000000000000000
2026/09/19 17:41:19.596, 1, 78, 173.22, 100, 12715, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:20.622, 0, 80, 136.06, 100, 13228, 1189, 715, P0, 0x0000000000000000
2026/09/19 17:41:20.632, 1, 79, 155.93, 100, 12715, 1290, 715, P0, 0x0000000000000000
2026/09/19 17:41:21.650, 0, 79, 148.09, 100, 13228, 1189, 715, P0, 0x0000000000000000
2026/09/19 17:41:21.653, 1, 77, 53.11, 0, 12715, 1265, 715, P0, 0x0000000000000000
2026/09/19 17:41:22.665, 0, 79, 130.26, 100, 13228, 1139, 715, P0, 0x0000000000000020
2026/09/19 17:41:22.673, 1, 79, 184.30, 100, 12715, 1328, 715, P0, 0x0000000000000000
2026/09/19 17:41:23.679, 0, 79, 123.93, 100, 13228, 1177, 715, P0, 0x0000000000000000
2026/09/19 17:41:23.682, 1, 79, 128.34, 100, 12715, 1227, 715, P0, 0x0000000000000020
2026/09/19 17:41:24.692, 0, 78, 52.36, 61, 13228, 1290, 715, P0, 0x0000000000000000
2026/09/19 17:41:24.696, 1, 78, 176.85, 10, 12715, 1303, 715, P0, 0x0000000000000000
2026/09/19 17:41:25.704, 0, 79, 130.91, 100, 13228, 1164, 715, P0, 0x0000000000000020
2026/09/19 17:41:25.708, 1, 80, 179.24, 100, 12715, 1316, 715, P0, 0x0000000000000020
2026/09/19 17:41:26.717, 0, 79, 133.15, 100, 13228, 1126, 715, P0, 0x0000000000000020
