0, 9, 0, 72, 51.71
1, 9, 0, 63, 48.76
0, 265, 0, 71, 44.69
1, 5613, 0, 62, 39.83
0, 5890, 26, 70, 44.72
1, 5613, 0, 62, 39.84
0, 5890, 10, 69, 43.74
1, 5613, 100, 61, 44.44
0, 5890, 0, 69, 43.74
1, 5613, 95, 61, 46.38
0, 6098, 10, 70, 143.31
1, 6059, 0, 61, 45.63
0, 6098, 22, 71, 188.57
1, 6137, 99, 63, 48.42
0, 6098, 14, 72, 193.82
1, 6137, 100, 63, 48.42
0, 6098, 5, 72, 189.89
1, 6137, 100, 64, 48.42
0, 6098, 0, 72, 193.12
1, 6137, 62, 63, 48.66
0, 6098, 0, 73, 194.55
1, 6137, 72, 63, 48.66
0, 6117, 0, 72, 192.64
1, 6154, 92, 64, 47.94
0, 6117, 100, 76, 196.00
1, 6154, 100, 64, 51.06
0, 6117, 100, 76, 199.26
1, 6154, 100, 66, 173.42
0, 6117, 100, 75, 196.57
1, 6154, 0, 63, 47.69
0, 6117, 100, 77, 196.53
1, 6154, 71, 66, 175.99
0, 6117, 77, 76, 56.73
1, 6154, 44, 65, 175.90
0, 6117, 99, 77, 196.42
1, 6154, 0, 64, 172.08
0, 6117, 100, 77, 183.70
1, 6154, 100, 65, 50.36
0, 6117, 0, 74, 54.31
1, 6154, 100, 66, 175.30
0, 6117, 100, 78, 199.65
1, 6154, 100, 66, 175.65
0, 6117, 99, 78, 198.09
1, 6154, 38, 66, 175.04
0, 6117, 53, 76, 194.41
1, 6154, 0, 65, 48.90
0, 6117, 100, 78, 198.82
1, 6154, 33, 66, 174.07
0, 6117, 100, 79, 199.31
1, 6154, 81, 66, 50.79
0, 6117, 100, 78, 199.90
1, 6154, 0, 64, 48.17
0, 6117, 100, 79, 201.52
1, 6154, 100, 67, 173.85
0, 6117, 77, 76, 56.47
1, 6154, 82, 67, 177.44
0, 5941, 45, 75, 109.72
1, 5745, 50, 66, 127.32
0, 5941, 42, 76, 109.55
1, 5745, 51, 65, 118.02
0, 5941, 44, 75, 125.13
1, 5745, 50, 65, 125.11
0, 5941, 43, 75, 114.39
1, 5745, 53, 65, 101.42
0, 5941, 43, 75, 125.85
1, 5745, 49, 65, 113.85
0, 5941, 44, 75, 125.84
1, 5745, 49, 65, 108.51
0, 5941, 45, 75, 107.74
1, 5745, 52, 65, 98.11
0, 5941, 44, 75, 113.36
1, 5745, 49, 65, 109.11
0, 5941, 42, 75, 117.98
1, 5745, 51, 65, 115.31
0, 5941, 41, 75, 126.68
1, 5745, 52, 65, 111.46
0, 289, 0, 73, 56.04
1, 289, 0, 64, 49.45
