0, 9, 0, 42, 27.28
1, 9, 0, 42, 27.27
0, 265, 2, 42, 33.59
1, 265, 0, 42, 32.60
0, 265, 0, 42, 33.59
1, 265, 0, 42, 32.82
0, 10832, 25, 42, 34.32
1, 10323, 0, 42, 32.84
0, 10832, 25, 42, 34.32
1, 10323, 0, 42, 32.84
0, 10832, 26, 42, 34.32
1, 10323, 0, 42, 32.60
0, 10832, 0, 42, 33.83
1, 10323, 98, 42, 37.92
0, 10832, 0, 42, 33.83
1, 10323, 98, 42, 37.92
0, 10832, 0, 42, 33.83
1, 10323, 97, 42, 37.92
0, 10832, 0, 42, 33.83
1, 10359, 98, 42, 37.69
0, 11078, 0, 42, 33.83
1, 10875, 0, 42, 37.20
0, 11078, 0, 42, 33.83
1, 10875, 0, 42, 37.19
0, 11078, 0, 42, 33.59
1, 10875, 0, 42, 32.84
0, 11078, 0, 42, 33.83
1, 10875, 0, 42, 32.84
0, 11088, 0, 42, 33.83
1, 10875, 0, 42, 32.84
0, 11088, 0, 41, 33.83
1, 10875, 0, 42, 32.84
0, 11088, 0, 41, 33.83
1, 10875, 0, 42, 32.60
0, 11088, 0, 41, 33.59
1, 10875, 0, 42, 32.84
0, 11088, 0, 41, 69.59
1, 10875, 0, 42, 32.80
0, 11088, 0, 43, 39.70
1, 10971, 98, 44, 143.47
0, 11088, 0, 42, 39.39
1, 10971, 0, 42, 38.15
0, 11088, 0, 42, 39.15
1, 10971, 0, 42, 38.15
0, 11088, 100, 46, 162.52
1, 10971, 0, 42, 38.65
0, 11088, 100, 47, 163.63
1, 10971, 0, 43, 39.13
0, 11088, 100, 47, 163.58
1, 10971, 0, 44, 39.37
0, 11088, 95, 47, 167.96
1, 10971, 19, 44, 39.61
0, 11088, 36, 47, 164.91
1, 10971, 78, 45, 39.85
0, 11087, 0, 46, 164.85
1, 10900, 64, 45, 40.81
0, 11087, 100, 48, 165.92
1, 10972, 99, 47, 161.31
0, 11087, 100, 49, 169.14
1, 10972, 0, 45, 40.56
0, 11087, 0, 47, 41.39
1, 10972, 100, 47, 146.42
0, 11087, 34, 47, 123.37
1, 10972, 51, 47, 156.67
0, 11087, 100, 50, 163.38
1, 10972, 99, 48, 152.46
0, 11087, 100, 51, 165.75
1, 10972, 24, 46, 40.82
0, 11087, 100, 50, 163.28
1, 10972, 0, 46, 40.57
0, 11087, 87, 49, 42.60
1, 10972, 0, 48, 160.71
0, 11087, 84, 51, 168.41
1, 10972, 100, 49, 159.50
0, 11087, 0, 49, 164.08
1, 10972, 100, 48, 41.55
0, 11087, 100, 51, 169.24
1, 10972, 99, 49, 47.79
0, 11087, 100, 51, 44.53
1, 10972, 28, 48, 157.24
0, 11087, 1, 49, 42.12
1, 10972, 100, 50, 152.96
0, 11087, 60, 51, 166.60
1, 10972, 100, 49, 155.57
0, 11087, 100, 53, 169.89
1, 10972, 100, 50, 72.46
0, 11087, 100, 53, 68.57
1, 10972, 0, 49, 140.74
0, 11087, 100, 53, 166.43
1, 10972, 0, 48, 41.29
0, 11087, 36, 52, 150.95
1, 10972, 54, 50, 157.02
0, 11087, 100, 53, 170.85
1, 10972, 100, 51, 160.44
0, 10905, 5, 50, 42.30
1, 10491, 79, 50, 42.25
0, 10905, 40, 50, 77.61
1, 10493, 50, 49, 104.16
0, 10905, 42, 50, 92.31
1, 10493, 50, 49, 96.94
0, 10905, 39, 50, 61.98
1, 10493, 52, 49, 71.73
0, 10905, 41, 50, 67.94
1, 10493, 52, 49, 92.45
0, 10905, 41, 50, 84.04
1, 10493, 51, 49, 85.39
0, 10905, 42, 50, 92.06
1, 10493, 51, 49, 87.62
0, 10905, 39, 50, 80.22
1, 10493, 50, 50, 78.25
0, 10905, 40, 50, 67.70
1, 10493, 50, 50, 94.07
0, 10905, 41, 50, 92.07
1, 10493, 51, 50, 87.86
0, 10905, 42, 50, 80.08
1, 10493, 52, 50, 104.58
0, 10905, 42, 51, 67.50
1, 10493, 52, 50, 76.79
0, 10905, 42, 50, 95.75
1, 10493, 52, 50, 92.15
0, 10905, 39, 51, 87.52
1, 10493, 51, 50, 92.64
0, 289, 0, 49, 42.54
1, 289, 0, 49, 41.54
0, 289, 0, 49, 42.54
1, 289, 0, 48, 41.52
