0, 9, 0, 76, 57.48
1, 9, 0, 72, 55.03
0, 265, 0, 75, 46.38
1, 10743, 0, 69, 43.72
0, 9453, 26, 72, 45.93
1, 10743, 0, 68, 43.24
0, 9453, 26, 72, 45.69
1, 10743, 0, 68, 43.24
0, 9453, 18, 72, 45.20
1, 10743, 0, 68, 43.72
0, 9453, 0, 71, 44.71
1, 10743, 98, 68, 50.48
0, 9453, 0, 71, 44.71
1, 10743, 97, 68, 50.48
0, 9453, 0, 71, 44.71
1, 10743, 98, 68, 50.48
0, 10055, 57, 73, 160.55
1, 11379, 0, 67, 49.03
0, 10055, 100, 75, 173.05
1, 11381, 0, 67, 49.24
0, 10055, 0, 73, 54.31
1, 11721, 100, 70, 174.12
0, 10055, 0, 72, 52.64
1, 11721, 99, 71, 160.95
0, 10055, 100, 75, 165.96
1, 11721, 0, 69, 51.39
0, 10055, 100, 77, 175.66
1, 11721, 0, 68, 50.91
0, 10055, 0, 73, 54.13
1, 11721, 100, 71, 168.04
0, 10055, 0, 74, 184.36
1, 11721, 78, 70, 53.23
0, 10055, 100, 76, 209.18
1, 11721, 0, 68, 51.03
0, 10055, 15, 74, 56.25
1, 11721, 100, 70, 189.97
0, 10055, 0, 72, 54.04
1, 11721, 100, 72, 201.38
0, 10055, 100, 76, 185.60
1, 11721, 0, 69, 52.29
0, 10055, 100, 77, 206.44
1, 11721, 0, 68, 51.52
0, 10055, 0, 73, 55.08
1, 11721, 100, 71, 198.89
0, 10055, 0, 72, 152.53
1, 11721, 99, 72, 67.97
0, 10055, 100, 77, 184.62
1, 11721, 0, 69, 52.04
0, 10055, 29, 75, 57.22
1, 11721, 89, 70, 180.55
0, 10055, 0, 73, 54.57
1, 11721, 100, 72, 169.78
0, 10055, 100, 76, 175.79
1, 11721, 0, 70, 52.85
0, 10055, 100, 77, 172.81
1, 11721, 0, 69, 51.85
0, 10055, 0, 74, 55.82
1, 11721, 100, 71, 157.59
0, 10055, 0, 73, 54.56
1, 11721, 100, 72, 175.52
0, 10091, 100, 77, 170.64
1, 11756, 0, 69, 52.03
0, 10091, 100, 77, 174.24
1, 11756, 0, 68, 51.69
0, 10091, 100, 77, 205.12
1, 11756, 100, 72, 154.98
0, 10091, 100, 78, 186.06
1, 11756, 16, 70, 52.03
0, 10091, 0, 75, 56.30
1, 11756, 100, 72, 163.93
0, 10091, 100, 78, 180.31
1, 11756, 100, 73, 164.15
0, 10091, 100, 78, 63.67
1, 11756, 19, 70, 179.71
0, 10091, 100, 78, 186.31
1, 11756, 100, 73, 196.67
0, 10091, 100, 79, 190.58
1, 11756, 0, 71, 53.63
0, 10091, 0, 76, 57.03
1, 11756, 100, 72, 157.35
0, 10091, 0, 74, 55.29
1, 11756, 100, 73, 191.26
0, 10091, 100, 78, 207.87
1, 11756, 0, 70, 53.51
0, 10091, 100, 79, 222.32
1, 11756, 0, 69, 52.96
0, 10091, 100, 78, 180.20
1, 11756, 100, 73, 212.06
0, 10091, 100, 79, 202.74
1, 11756, 35, 72, 55.16
0, 10091, 0, 76, 49.49
1, 11756, 100, 72, 207.76
0, 10091, 100, 79, 208.54
1, 11756, 100, 74, 181.22
0, 10091, 100, 79, 143.42
1, 11756, 0, 71, 54.08
0, 10091, 100, 78, 164.22
1, 11756, 100, 74, 168.72
0, 10091, 100, 79, 180.69
1, 11756, 62, 72, 55.63
0, 10091, 0, 76, 52.21
1, 11756, 100, 73, 167.18
0, 10091, 0, 75, 50.94
1, 11756, 100, 74, 202.01
0, 10091, 100, 78, 183.34
1, 11756, 0, 71, 54.22
0, 10091, 100, 80, 168.11
1, 11756, 0, 70, 53.28
0, 10091, 73, 78, 220.40
1, 11756, 100, 73, 168.88
0, 10091, 100, 80, 175.50
1, 11756, 64, 73, 56.14
0, 10091, 0, 77, 54.56
