timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/17 05:10:15.768, 0, 69, 43.22, 0, 14908, 1189, 715, P0, 0x0000000000000000
2026/09/17 05:10:15.772, 1, 70, 51.17, 0, 13942, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:16.782, 0, 71, 53.11, 31, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:16.788, 1, 71, 170.58, 13, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:17.807, 0, 73, 188.40, 100, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:17.812, 1, 70, 52.98, 0, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:18.820, 0, 73, 55.03, 68, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:18.823, 1, 72, 175.37, 0, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:19.834, 0, 74, 187.28, 47, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:19.837, 1, 73, 173.87, 78, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:20.846, 0, 75, 187.85, 100, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:20.849, 1, 74, 174.82, 100, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:21.860, 0, 73, 54.27, 11, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:21.864, 1, 74, 194.89, 98, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:22.874, 0, 75, 61.03, 100, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:22.877, 1, 72, 173.93, 0, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:23.889, 0, 72, 98.05, 41, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:23.892, 1, 73, 94.37, 46, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:24.906, 0, 72, 84.19, 41, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:24.908, 1, 73, 117.32, 46, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:25.919, 0, 72, 107.40, 41, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:25.922, 1, 72, 91.30, 46, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:26.932, 0, 75, 196.28, 100, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:26.935, 1, 71, 54.85, 0, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:27.945, 0, 75, 57.89, 100, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:27.948, 1, 73, 186.07, 25, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:28.958, 0, 75, 202.69, 53, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:28.961, 1, 75, 187.21, 100, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:29.972, 0, 77, 203.54, 43, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:29.975, 1, 75, 189.30, 100, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:30.986, 0, 77, 190.14, 100, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:30.989, 1, 76, 188.05, 100, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:31.996, 0, 77, 191.04, 100, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:31.999, 1, 76, 182.45, 100, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:33.014, 0, 78, 186.15, 100, 14968, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:33.017, 1, 74, 56.10, 76, 14002, 1328, 715, P0, 0x0000000000000000
2026/09/17 05:10:34.030, 0, 78, 122.67, 100, 14968, 1328, 715, P0, 0x0000000000000000
