0, 9, 0, 71, 53.61
1, 9, 0, 65, 49.94
0, 265, 0, 71, 53.13
1, 265, 0, 64, 49.71
0, 13731, 11, 70, 44.67
1, 12922, 0, 64, 49.50
0, 13731, 26, 70, 44.67
1, 12922, 0, 64, 49.50
0, 13731, 26, 70, 44.22
1, 12922, 0, 64, 49.26
0, 13731, 26, 69, 44.20
1, 12922, 0, 63, 49.25
0, 13731, 26, 69, 44.23
1, 12922, 0, 63, 40.81
0, 13731, 0, 69, 43.74
1, 12922, 98, 63, 47.32
0, 13731, 0, 69, 43.50
1, 12922, 98, 63, 47.32
0, 13731, 0, 69, 43.50
1, 12922, 98, 63, 47.08
0, 13731, 0, 68, 43.25
1, 12922, 96, 62, 47.08
0, 265, 39, 68, 45.65
1, 265, 83, 62, 49.02
0, 265, 0, 68, 49.28
1, 265, 0, 62, 46.10
0, 265, 0, 68, 49.28
1, 265, 0, 62, 45.86
0, 9, 0, 68, 50.26
1, 9, 0, 62, 46.59
