0, 9, 0, 76, 54.65
1, 9, 0, 38, 26.50
0, 265, 0, 76, 54.40
1, 265, 0, 38, 31.83
0, 2427, 0, 75, 47.14
1, 2974, 100, 38, 36.69
0, 5371, 33, 77, 168.89
1, 6104, 0, 38, 36.22
0, 5371, 49, 79, 216.65
1, 6326, 3, 39, 38.04
0, 5371, 100, 79, 143.89
1, 6326, 100, 42, 168.09
0, 5371, 100, 79, 138.75
1, 6326, 100, 43, 182.55
0, 5371, 100, 79, 143.82
1, 6326, 100, 44, 159.05
0, 5371, 98, 79, 138.02
1, 6326, 100, 44, 167.22
0, 5371, 98, 79, 142.36
1, 6326, 63, 45, 183.18
0, 5371, 100, 79, 148.19
1, 6326, 36, 45, 157.78
0, 5371, 100, 79, 132.42
1, 6326, 100, 45, 41.12
0, 5371, 100, 79, 124.74
1, 6326, 100, 46, 178.66
0, 5371, 98, 79, 123.83
1, 6326, 21, 46, 182.35
0, 5371, 100, 79, 123.39
1, 6326, 100, 46, 41.85
0, 5371, 100, 79, 108.09
1, 6326, 84, 47, 168.00
0, 5371, 100, 79, 120.61
1, 6326, 94, 46, 99.75
0, 5371, 100, 79, 128.73
1, 6326, 100, 47, 169.46
0, 5371, 100, 79, 126.58
1, 6326, 29, 47, 163.90
0, 5371, 100, 79, 127.35
1, 6326, 100, 48, 177.47
0, 5371, 100, 79, 129.77
1, 6326, 18, 47, 158.62
0, 5371, 100, 79, 131.45
1, 6326, 100, 49, 181.62
0, 5371, 100, 79, 132.01
1, 6326, 22, 48, 163.84
0, 5371, 100, 79, 126.50
1, 6326, 100, 49, 167.26
0, 5371, 100, 79, 106.48
1, 6326, 85, 48, 41.66
0, 5371, 98, 79, 125.67
1, 6326, 88, 50, 163.56
0, 5371, 100, 79, 136.21
1, 6326, 100, 50, 179.47
0, 5371, 98, 79, 118.61
1, 6326, 14, 50, 168.91
0, 5371, 100, 79, 123.81
1, 6326, 100, 51, 158.55
0, 5371, 100, 79, 107.92
1, 6326, 45, 50, 42.37
0, 5371, 98, 79, 136.46
1, 6326, 100, 51, 168.63
0, 5371, 100, 79, 122.70
1, 6326, 100, 51, 181.05
0, 5371, 100, 79, 136.28
1, 6326, 49, 50, 42.31
0, 5371, 98, 79, 134.06
1, 6326, 96, 52, 164.20
0, 5371, 100, 79, 126.26
1, 6326, 100, 52, 175.78
0, 5371, 100, 79, 106.96
1, 6326, 98, 52, 43.33
0, 5371, 100, 79, 103.94
1, 6326, 24, 52, 171.43
0, 5371, 100, 79, 103.74
1, 6326, 100, 53, 182.02
0, 5371, 100, 79, 134.38
1, 6326, 100, 53, 154.73
0, 5371, 100, 79, 138.36
1, 6326, 91, 52, 43.01
0, 5371, 98, 79, 103.91
1, 6326, 12, 53, 184.11
0, 5371, 100, 79, 107.30
1, 6326, 100, 54, 177.80
0, 5371, 100, 79, 107.52
1, 6326, 100, 54, 170.14
0, 5371, 100, 79, 106.96
1, 6326, 68, 53, 43.81
0, 5371, 100, 79, 134.18
1, 6326, 18, 54, 159.72
0, 5371, 98, 79, 138.11
1, 6326, 100, 55, 167.22
0, 5371, 100, 79, 128.31
1, 6326, 100, 55, 171.97
0, 5371, 100, 79, 102.91
1, 6326, 100, 56, 186.43
0, 5371, 100, 79, 128.84
1, 6326, 100, 55, 46.70
0, 5371, 100, 79, 121.77
1, 6326, 59, 54, 94.73
0, 5371, 98, 79, 106.81
1, 6326, 5, 56, 176.32
0, 5371, 100, 79, 126.42
1, 6326, 81, 56, 157.14
0, 5371, 100, 79, 134.61
1, 6326, 100, 57, 161.05
0, 5371, 100, 79, 108.39
1, 6326, 100, 57, 173.79
0, 5371, 100, 79, 130.71
1, 6326, 100, 57, 135.37
0, 5371, 100, 79, 107.43
1, 6326, 87, 56, 45.50
0, 5371, 100, 79, 121.48
1, 6326, 23, 56, 155.85
0, 5371, 100, 79, 114.94
1, 6326, 13, 57, 155.14
0, 5371, 100, 79, 104.16
1, 6326, 63, 57, 188.78
0, 5371, 100, 79, 122.77
1, 6326, 100, 58, 156.77
0, 5371, 100, 79, 107.99
1, 6326, 100, 58, 174.52
0, 5371, 100, 79, 139.45
1, 6326, 100, 58, 159.54
0, 5371, 100, 79, 131.90
1, 6326, 100, 59, 150.92
0, 5371, 100, 79, 105.58
1, 6326, 100, 59, 187.29
0, 5371, 100, 79, 111.86
1, 6326, 100, 59, 159.19
0, 5371, 100, 79, 135.03
1, 6326, 100, 59, 145.78
0, 5371, 100, 79, 127.50
1, 6326, 100, 59, 60.12
0, 5371, 100, 79, 107.92
1, 6326, 96, 59, 46.47
0, 5371, 100, 79, 110.99
1, 6326, 82, 58, 46.22
0, 5371, 100, 79, 113.62
1, 6326, 71, 58, 45.98
0, 5371, 100, 79, 136.27
1, 6326, 66, 59, 45.93
0, 5371, 100, 79, 130.59
1, 6326, 61, 59, 45.93
0, 5371, 100, 79, 116.00
1, 6326, 62, 59, 128.03
0, 5371, 100, 79, 121.20
1, 6326, 12, 59, 162.81
0, 5371, 100, 79, 120.22
1, 6326, 6, 59, 147.95
